Vendedor,Departamento,Faturamento Realizado,Objetivo de Faturamento,Margem Realizada,Objetivo de Margem,Data
Letícia Nascimento,Eletrônicos,4263.48,1290.04,0.14,0.18,2017-01-01
Ana Sousa,Eletrônicos,4892.33,3636.12,0.3,0.17,2017-01-01
Gustavo Martins,Eletrônicos,2854.06,1307.27,0.14,0.2,2017-01-01
Beatriz Santos,Vestuário,218.96,1436.86,0.2,0.17,2017-01-01
Camila Lima,Vestuário,1161.34,2491.02,0.24,0.14,2017-01-01
Thiago Barbosa,Acessórios,1780.57,1237.77,0.4,0.44,2017-01-01
Letícia Ribeiro,Acessórios,2107.58,803.91,0.26,0.42,2017-01-01
Enzo Nascimento,Casa,6547.06,3935.65,0.37,0.3,2017-01-01
Guilherme Santos,Casa,4193.88,5487.09,0.23,0.29,2017-01-01
Vitória Ribeiro,Brinquedo,4578.79,2855.56,0.36,0.26,2017-01-01
Julia Araújo,Esportes,5076.1,1478.71,0.22,0.3,2017-01-01
Lucas Rodrigues,Esportes,690.14,2207.88,0.17,0.3,2017-01-01
Thiago Carvalho,Esportes,4592.51,2722.85,0.27,0.29,2017-01-01
Mateus Barbosa,Eletrônicos,1850.02,4571.95,0.23,0.21,2017-01-01
Camila Carvalho,Casa,1433.81,4462.33,0.17,0.26,2017-01-01
Diego Cardoso,Vestuário,4899.09,2628.0,0.19,0.19,2017-01-01
Jorge Santos,Brinquedo,4651.4,3328.0,0.17,0.2,2017-01-01
Raphael Silva,Papelaria,360.69,360.64,0.29,0.52,2017-01-01
Caroline Reis,Papelaria,966.48,388.81,0.54,0.43,2017-01-01
Letícia Nascimento,Eletrônicos,6046.27,2851.87,0.14,0.18,2017-01-02
Ana Sousa,Eletrônicos,3757.67,2145.86,0.22,0.23,2017-01-02
Gustavo Martins,Eletrônicos,2708.11,1989.55,0.32,0.2,2017-01-02
Beatriz Santos,Vestuário,531.82,1027.21,0.09,0.18,2017-01-02
Camila Lima,Vestuário,3939.51,2039.83,0.08,0.17,2017-01-02
Thiago Barbosa,Acessórios,2191.62,1034.94,0.78,0.58,2017-01-02
Letícia Ribeiro,Acessórios,64.8,1264.87,0.6,0.5,2017-01-02
Enzo Nascimento,Casa,2157.2,4092.05,0.14,0.26,2017-01-02
Guilherme Santos,Casa,3570.15,5406.03,0.4,0.25,2017-01-02
Vitória Ribeiro,Brinquedo,2803.17,1535.96,0.37,0.29,2017-01-02
Julia Araújo,Esportes,2225.08,3791.91,0.36,0.29,2017-01-02
Lucas Rodrigues,Esportes,5482.83,3403.58,0.43,0.33,2017-01-02
Thiago Carvalho,Esportes,134.02,2564.21,0.14,0.38,2017-01-02
Mateus Barbosa,Eletrônicos,5814.12,4194.0,0.15,0.17,2017-01-02
Camila Carvalho,Casa,6777.75,5377.19,0.14,0.28,2017-01-02
Diego Cardoso,Vestuário,426.38,2953.63,0.23,0.15,2017-01-02
Jorge Santos,Brinquedo,2666.52,2649.41,0.18,0.29,2017-01-02
Raphael Silva,Papelaria,476.99,327.08,0.47,0.49,2017-01-02
Caroline Reis,Papelaria,237.24,387.03,0.72,0.47,2017-01-02
Letícia Nascimento,Eletrônicos,2958.89,3063.28,0.11,0.18,2017-01-03
Ana Sousa,Eletrônicos,2310.79,3317.92,0.14,0.18,2017-01-03
Gustavo Martins,Eletrônicos,580.03,3471.97,0.14,0.23,2017-01-03
Beatriz Santos,Vestuário,4267.83,1091.31,0.12,0.19,2017-01-03
Camila Lima,Vestuário,1131.19,1257.25,0.27,0.18,2017-01-03
Thiago Barbosa,Acessórios,1060.97,1341.54,0.68,0.44,2017-01-03
Letícia Ribeiro,Acessórios,249.37,917.26,0.46,0.5,2017-01-03
Enzo Nascimento,Casa,5651.81,4228.13,0.44,0.23,2017-01-03
Guilherme Santos,Casa,3183.81,2825.07,0.4,0.24,2017-01-03
Vitória Ribeiro,Brinquedo,1127.13,2345.84,0.23,0.23,2017-01-03
Julia Araújo,Esportes,1883.64,4900.74,0.3,0.38,2017-01-03
Lucas Rodrigues,Esportes,3993.29,1497.29,0.52,0.36,2017-01-03
Thiago Carvalho,Esportes,6932.35,4912.83,0.45,0.29,2017-01-03
Mateus Barbosa,Eletrônicos,3266.95,1969.49,0.18,0.17,2017-01-03
Camila Carvalho,Casa,3005.03,5538.3,0.2,0.31,2017-01-03
Diego Cardoso,Vestuário,2301.35,2042.12,0.27,0.21,2017-01-03
Jorge Santos,Brinquedo,3101.15,3155.22,0.15,0.23,2017-01-03
Raphael Silva,Papelaria,1066.21,547.51,0.47,0.49,2017-01-03
Caroline Reis,Papelaria,81.74,550.51,0.45,0.52,2017-01-03
Letícia Nascimento,Eletrônicos,1140.17,4658.81,0.1,0.18,2017-01-04
Ana Sousa,Eletrônicos,3975.83,3630.77,0.14,0.17,2017-01-04
Gustavo Martins,Eletrônicos,5889.06,2086.38,0.22,0.21,2017-01-04
Beatriz Santos,Vestuário,2127.43,2475.92,0.18,0.2,2017-01-04
Camila Lima,Vestuário,1082.7,2833.72,0.12,0.17,2017-01-04
Thiago Barbosa,Acessórios,1490.85,760.0,0.38,0.56,2017-01-04
Letícia Ribeiro,Acessórios,196.69,949.94,0.8,0.6,2017-01-04
Enzo Nascimento,Casa,693.85,2295.24,0.2,0.32,2017-01-04
Guilherme Santos,Casa,6799.34,5092.93,0.23,0.24,2017-01-04
Vitória Ribeiro,Brinquedo,4602.22,3110.62,0.28,0.3,2017-01-04
Julia Araújo,Esportes,4720.91,1330.51,0.45,0.3,2017-01-04
Lucas Rodrigues,Esportes,4786.99,4961.83,0.18,0.27,2017-01-04
